ObjectID,X,Y,School,City,GradeLevels
347,2171506.85208051,248350.68315026,CHATTANOOGA CHRISTIAN SCHOOL,Chattanooga,"K,1,2,3,4,5,6,7,8,9,10,11,12"
348,2172646.17612107,259442.52050353,CHATTANOOGA GIRLS LEADERSHIP ACADEMY,Chattanooga,"6,7,8,9"
349,2179646.94389795,261499.29831167,CHATTANOOGA SCHOOL FOR ARTS AND SCIENCES CSAS UPPER,Chattanooga,"6,7,8,9,10,11,12"
350,2179646.94389795,261499.29831167,CHATTANOOGA SCHOOL FOR THE ARTS AND SCIENCE CSAS LOWER,Chattanooga,"K,1,2,3,4,5"
351,2211137.9045367,250624.15738193,CHATTANOOGA SCHOOL FOR THE LIBERAL ARTS,Chattanooga,"K,1,2,3,4,5,6,7,8"
352,2197208.43000579,278476.39482235,CHATTANOOGA STATE MID COLLEGE HIGH SCHOOL,Chattanooga,"10,11,12"
353,1655283.14389993,707506.21159474,CHEATHAM CO ADULT HIGH SCHOOL,Ashland City,"9,10,11,12"
354,1646659.37044187,719545.84946953,CHEATHAM CO CENTRAL,Ashland City,"9,10,11,12"
355,1651710.69999681,719617.71751142,CHEATHAM MIDDLE SCHOOL,Ashland City,"5,6,7,8"
356,1708254.04639382,794919.26846818,CHEATHAM PARK ELEMENTARY,Springfield,"1,2,3,4,5"
357,3035367.44865202,728503.50631336,CHEROKEE ELEMENTARY,Johnson City,"K,1,2,3,4,5,P4"
358,784060.9068336,301027.33731119,CHEROKEE ELEMENTARY,Memphis,"K,1,2,3,4,5,P4"
359,2843979.33239758,766845.77255224,CHEROKEE HIGH SCHOOL,Rogersville,"9,10,11,12"
360,2413505.35211842,558737.96914249,CHEROKEE MIDDLE SCHOOL,Kingston,"6,7,8"
361,1185764.77730878,413646.96738643,CHESTER COUNTY HIGH SCHOOL,Henderson,"9,10,11,12"
362,1189183.14415969,414797.39126668,CHESTER COUNTY JUNIOR HIGH SCHOOL,Henderson,"7,8"
363,1186611.38060245,414045.06304693,CHESTER COUNTY MIDDLE SCHOOL,Henderson,"4,5,6"
364,743676.68360265,281997.79723358,CHICKASAW JUNIOR HIGH SCHOOL ,Memphis,"7,8"
365,1732285.78890288,649262.10962704,"CHILDREN FIRST, A MONTESSORI COMMUNITY",Nashville,K
366,1732330.1957897,649367.82415181,CHILDREN'S HOUSE OF NASHVILLE MONTESSORI,Nashville,"PK,K"
367,2604060.36984578,616170.4665381,CHILHOWEE INTERMEDIATE,Knoxville,"3,4,5"
368,2371338.93174626,310854.48169884,CHILHOWEE MIDDLE SCHOOL,Benton,"6,7,8"
369,840258.18726592,329404.86068165,CHIMNEYROCK ELEMENTARY SCHOOL,Cordova,"K,1,2,3,4,5"
370,971548.8566067,643720.15673102,CHRIST CLASSICAL ACADEMY,Dyersburg,"PK,K,1,2,3,4,5,6,7,8"
372,798807.33140891,309721.653912,CHRIST METHODIST DAY SCHOOL,Memphis,"PK,PS,K,1,2,3,4,5,6"
373,1708995.38985817,626242.31222024,CHRIST PRESBYTERIAN ACADEMY,Nashville,"K,1,2,3,4,5,6,7,8,9,10,11,12"
374,806549.51950539,303725.87317871,CHRIST THE KING LUTHERAN SCHOOL,Memphis,"PK,K,1,2,3,4,5,6,7,8"
375,1733315.34477138,650855.86529846,CHRIST THE KING SCHOOL,Nashville,"K,1,2,3,4,5,6,7,8"
376,840648.48495974,281835.44222363,CHRIST THE ROCK CHRISTIAN ACADEMY,Memphis,"PK,K,1,2,3,4,5,6,7,8"
377,2369582.10735022,428831.50946247,CHRIST'S LEGACY ACADEMY,Athens,"K,1,2,3,4,5,6,7,8"
378,2580715.70147686,611165.33842731,CHRISTENBERRY ELEMENTARY,Knoxville,"K,1,2,3,4,5"
379,2537016.85535315,759883.7303278,CHRISTIAN ACADEMY OF CAMPBELL COUNTY,Lafollette,"PK,K,1,2,3,4,5,6,7,8"
